Date,Price,Open,High,Low,Vol.,Change %
12/22/2021,"48,593.00","48,885.40","49,530.80","48,446.20",27.00K,-0.61%
12/21/2021,"48,892.30","46,970.20","49,295.00","46,650.10",37.71K,4.29%
12/20/2021,"46,881.40","46,669.30","47,482.40","45,571.10",35.85K,0.37%
12/19/2021,"46,706.40","46,829.30","48,261.90","46,428.40",29.31K,-0.31%
12/18/2021,"46,851.60","46,149.50","47,317.90","45,505.10",25.02K,1.47%
12/17/2021,"46,171.20","47,625.00","47,993.30","45,524.60",43.10K,-3.05%
12/16/2021,"47,625.00","48,881.00","49,363.20","47,540.90",31.98K,-2.54%
12/15/2021,"48,865.00","48,350.00","49,469.70","46,567.60",51.63K,1.05%
12/14/2021,"48,356.80","46,716.40","48,622.70","46,333.10",39.98K,3.57%
12/13/2021,"46,690.00","50,047.80","50,183.70","45,843.60",50.87K,-6.74%
12/12/2021,"50,066.70","49,399.90","50,771.40","48,664.80",26.02K,1.58%
12/11/2021,"49,286.60","47,127.40","49,474.00","46,812.40",28.89K,4.62%
12/10/2021,"47,110.10","47,536.30","49,955.90","47,000.00",44.23K,-1.03%
12/9/2021,"47,598.60","50,478.80","50,777.00","47,333.80",37.69K,-5.67%
12/8/2021,"50,457.90","50,584.70","51,194.40","48,694.90",38.43K,-0.24%
12/7/2021,"50,581.20","50,467.90","51,891.60","50,059.20",38.25K,0.06%
12/6/2021,"50,551.80","49,406.70","50,882.50","47,216.60",58.57K,2.39%
12/5/2021,"49,370.00","49,189.80","49,657.10","47,769.00",45.58K,0.42%
12/4/2021,"49,165.00","53,608.80","53,833.80","42,567.30",114.20K,-8.26%
12/3/2021,"53,593.20","56,498.40","57,529.70","51,993.80",58.96K,-5.12%
12/2/2021,"56,483.70","57,161.70","57,363.20","55,791.60",37.57K,-1.25%
12/1/2021,"57,197.70","56,969.20","59,049.40","56,500.00",44.96K,0.59%
11/30/2021,"56,864.40","57,781.10","59,155.10","55,940.30",49.16K,-1.58%
11/29/2021,"57,774.50","57,352.00","58,838.00","56,707.20",40.13K,0.87%
11/28/2021,"57,275.40","54,658.30","57,373.20","53,432.30",36.16K,4.61%
11/27/2021,"54,750.00","53,810.80","55,259.70","53,638.20",29.72K,1.91%
11/26/2021,"53,726.10","58,961.60","59,135.30","53,522.60",65.93K,-8.82%
11/25/2021,"58,920.00","57,174.10","59,374.00","57,020.60",42.15K,3.07%
11/24/2021,"57,164.60","57,549.20","57,716.70","55,900.00",39.61K,-0.71%
11/23/2021,"57,570.80","56,245.60","57,850.00","55,559.10",49.92K,2.24%
11/22/2021,"56,311.00","58,670.40","59,257.80","55,640.70",51.72K,-4.09%
11/21/2021,"58,711.90","59,726.90","59,988.50","58,515.60",31.90K,-1.67%
11/20/2021,"59,706.00","58,057.80","59,842.80","57,430.50",33.85K,2.83%
11/19/2021,"58,061.60","56,978.70","58,304.90","55,610.20",50.72K,2.03%
11/18/2021,"56,908.40","60,344.90","60,930.30","56,511.00",62.17K,-5.74%
11/17/2021,"60,375.40","60,052.10","60,808.40","58,533.20",46.29K,0.52%
11/16/2021,"60,064.70","63,606.70","63,606.70","58,610.50",77.46K,-5.55%
11/15/2021,"63,594.00","65,677.40","66,304.30","63,443.70",37.83K,-2.93%
11/14/2021,"65,512.10","64,404.40","65,512.10","63,606.60",25.71K,1.73%
11/13/2021,"64,395.70","64,163.40","64,905.20","63,373.40",22.52K,0.42%
11/12/2021,"64,128.40","64,749.00","65,446.40","62,306.50",44.49K,-1.00%
11/11/2021,"64,774.30","64,846.90","65,588.00","64,116.00",37.24K,-0.22%
11/10/2021,"64,920.00","66,972.50","69,000.00","62,964.10",65.17K,-3.02%
11/9/2021,"66,943.00","67,531.30","68,493.00","66,323.90",44.66K,-0.85%
11/8/2021,"67,520.00","63,354.90","67,784.80","63,338.50",54.44K,6.72%
11/7/2021,"63,267.10","61,477.80","63,267.10","61,328.00",25.52K,2.93%
11/6/2021,"61,468.70","60,944.00","61,523.50","60,079.40",25.59K,0.84%
11/5/2021,"60,957.50","61,409.90","62,546.70","60,730.00",31.65K,-0.72%
11/4/2021,"61,400.70","62,896.50","63,070.80","60,733.00",35.93K,-2.40%
11/3/2021,"62,912.00","63,230.00","63,493.00","60,930.60",43.40K,-0.47%
11/2/2021,"63,207.00","60,909.80","64,250.80","60,639.80",46.37K,3.79%
11/1/2021,"60,900.60","61,317.30","62,416.40","59,613.00",44.69K,-0.65%
10/31/2021,"61,300.40","61,911.60","62,390.10","60,000.00",39.27K,-0.86%
10/30/2021,"61,830.10","62,251.80","62,334.60","60,773.50",31.50K,-0.65%
10/29/2021,"62,235.10","60,576.80","62,950.00","60,314.10",43.97K,2.75%
10/28/2021,"60,571.50","58,434.40","62,237.10","58,107.30",61.06K,3.66%
10/27/2021,"58,431.20","60,310.30","61,444.90","58,096.10",62.12K,-3.11%
10/26/2021,"60,307.70","63,077.70","63,272.50","59,916.50",40.22K,-4.37%
10/25/2021,"63,060.80","60,854.10","63,696.20","60,655.50",36.85K,3.60%
10/24/2021,"60,868.60","61,285.50","61,466.30","59,522.90",31.23K,-0.72%
10/23/2021,"61,310.80","60,688.70","61,730.00","59,733.40",27.63K,1.02%
10/22/2021,"60,690.30","62,202.40","63,700.50","60,068.10",52.12K,-2.42%
10/21/2021,"62,198.10","66,001.40","66,602.80","62,088.00",68.54K,-5.70%
10/20/2021,"65,961.00","64,268.40","66,973.60","63,540.10",51.43K,2.62%
10/19/2021,"64,275.50","62,008.40","64,449.40","61,431.70",53.63K,3.63%
10/18/2021,"62,024.40","61,528.30","62,625.70","60,053.20",51.80K,0.81%
10/17/2021,"61,526.00","60,875.80","61,660.00","59,156.70",39.10K,1.09%
10/16/2021,"60,860.90","61,720.00","62,332.90","60,160.30",35.47K,-1.30%
10/15/2021,"61,659.80","57,345.00","62,913.00","56,871.00",82.51K,7.53%
10/14/2021,"57,341.00","57,370.80","58,513.30","56,858.10",43.05K,-0.07%
10/13/2021,"57,382.60","56,002.90","57,697.80","54,320.00",55.81K,2.43%
10/12/2021,"56,022.40","57,425.80","57,644.30","54,172.70",53.47K,-2.53%
10/11/2021,"57,477.00","54,652.20","57,819.30","54,457.00",52.93K,5.10%
10/10/2021,"54,685.60","54,949.20","56,435.00","54,089.80",89.24K,-0.46%
10/9/2021,"54,939.00","53,947.80","55,429.20","53,704.90",55.18K,1.91%
10/8/2021,"53,911.20","53,787.10","55,955.40","53,653.40",46.16K,0.24%
10/7/2021,"53,779.80","55,311.10","55,311.10","53,491.20",54.92K,-2.78%
10/6/2021,"55,315.90","51,457.40","55,658.60","50,436.60",79.88K,7.50%
10/5/2021,"51,456.10","49,222.40","51,864.20","49,056.40",52.13K,4.53%
10/4/2021,"49,227.50","48,198.80","49,473.70","46,960.00",46.80K,2.16%
10/3/2021,"48,186.70","47,632.30","49,159.00","47,122.20",30.83K,1.09%
10/2/2021,"47,665.50","48,136.80","48,300.00","47,443.80",30.51K,-0.99%
10/1/2021,"48,141.10","43,816.20","48,430.80","43,289.30",66.25K,9.85%
9/30/2021,"43,822.50","41,541.10","44,102.00","41,414.10",46.38K,5.51%
9/29/2021,"41,535.60","41,019.70","42,561.10","40,817.00",33.51K,1.27%
9/28/2021,"41,016.60","42,140.30","42,755.10","40,902.00",43.40K,-2.73%
9/27/2021,"42,169.60","43,134.40","44,283.90","42,141.10",39.78K,-2.40%
9/26/2021,"43,205.00","42,670.60","43,903.50","40,772.40",49.88K,1.23%
9/25/2021,"42,678.90","42,804.80","42,948.10","41,659.40",33.60K,-0.29%
9/24/2021,"42,803.70","44,856.30","45,098.70","40,878.80",84.11K,-4.58%
9/23/2021,"44,856.30","43,543.60","44,938.70","43,081.60",48.70K,3.03%
9/22/2021,"43,536.10","40,781.50","43,968.30","40,581.00",58.35K,7.12%
9/21/2021,"40,643.80","43,014.00","43,620.60","39,644.10",84.53K,-5.41%
9/20/2021,"42,968.20","47,284.10","47,324.50","42,532.70",78.00K,-9.04%
9/19/2021,"47,236.50","48,294.40","48,338.60","46,865.50",29.85K,-2.21%
9/18/2021,"48,305.00","47,312.20","48,754.40","47,066.90",30.91K,2.17%
9/17/2021,"47,277.90","47,761.90","48,150.00","46,789.60",34.46K,-0.97%
9/16/2021,"47,740.00","48,152.40","48,476.20","47,034.20",40.73K,-0.80%
9/15/2021,"48,124.90","47,075.30","48,429.40","46,739.40",43.21K,2.24%
9/14/2021,"47,068.80","44,946.00","47,243.30","44,711.90",44.86K,4.73%
9/13/2021,"44,945.00","46,035.50","46,806.00","43,445.40",65.43K,-2.42%
9/12/2021,"46,060.30","45,158.10","46,385.60","44,750.00",32.09K,1.99%
9/11/2021,"45,160.00","44,877.00","45,977.10","44,746.10",30.44K,0.71%
9/10/2021,"44,841.90","46,391.50","47,019.50","44,280.50",49.05K,-3.32%
9/9/2021,"46,384.00","46,043.50","47,315.60","45,597.40",50.65K,0.72%
9/8/2021,"46,051.40","46,847.30","47,310.00","44,484.10",65.07K,-1.53%
9/7/2021,"46,768.00","52,666.20","52,880.00","43,066.40",122.79K,-11.20%
9/6/2021,"52,663.90","51,751.50","52,722.60","50,987.20",49.25K,1.74%
9/5/2021,"51,762.70","49,926.70","51,876.90","49,480.60",40.55K,3.71%
9/4/2021,"49,913.00","49,977.50","50,529.00","49,437.00",34.67K,-0.16%
9/3/2021,"49,990.70","49,245.10","51,000.00","48,351.00",59.03K,1.47%
9/2/2021,"49,264.90","48,784.10","50,351.10","48,600.30",54.49K,0.94%
9/1/2021,"48,807.60","47,090.70","49,150.00","46,521.40",49.91K,3.56%
8/31/2021,"47,130.40","46,929.00","48,211.60","46,700.40",48.65K,0.30%
8/30/2021,"46,989.70","48,737.30","48,877.90","46,872.20",40.29K,-3.65%
8/29/2021,"48,767.80","48,904.20","49,613.90","47,820.20",32.65K,-0.25%
8/28/2021,"48,888.20","49,068.00","49,284.00","48,411.10",26.68K,-0.34%
8/27/2021,"49,054.10","46,839.60","49,135.20","46,371.00",42.07K,4.76%
8/26/2021,"46,823.90","48,977.20","49,344.50","46,365.00",49.37K,-4.43%
8/25/2021,"48,995.50","47,666.90","49,227.80","47,162.20",44.66K,2.69%
8/24/2021,"47,711.00","49,459.90","49,843.50","47,609.90",51.02K,-3.69%
8/23/2021,"49,538.00","49,248.40","50,496.10","49,031.00",52.46K,0.59%
8/22/2021,"49,246.40","48,809.20","49,473.40","48,148.00",37.01K,0.85%
8/21/2021,"48,830.00","49,323.60","49,699.60","48,271.40",46.75K,-0.98%
8/20/2021,"49,315.70","46,760.40","49,334.80","46,644.40",56.85K,5.48%
8/19/2021,"46,752.50","44,758.60","47,000.00","43,980.80",53.41K,4.62%
8/18/2021,"44,686.20","44,681.50","45,997.70","44,222.10",54.10K,-0.01%
8/17/2021,"44,692.50","45,901.70","47,135.50","44,431.10",57.04K,-2.69%
8/16/2021,"45,926.00","47,014.00","48,000.00","45,667.20",52.48K,-2.24%
8/15/2021,"46,979.70","47,092.20","47,337.80","45,558.50",42.11K,-0.20%
8/14/2021,"47,074.40","47,813.80","48,083.90","46,032.20",46.11K,-1.51%
8/13/2021,"47,794.50","44,416.80","47,821.30","44,234.20",48.24K,7.65%
8/12/2021,"44,396.00","45,508.40","46,213.90","43,814.90",55.27K,-2.56%
8/11/2021,"45,561.30","45,581.20","46,726.50","45,347.20",52.74K,-0.06%
8/10/2021,"45,588.20","46,293.40","46,658.20","44,674.80",53.84K,-1.49%
8/9/2021,"46,278.40","43,814.40","46,453.10","42,823.30",74.59K,5.71%
8/8/2021,"43,780.00","44,572.50","45,277.60","43,315.00",69.33K,-1.87%
8/7/2021,"44,615.90","42,834.70","44,684.20","42,525.00",73.40K,4.30%
8/6/2021,"42,775.30","40,863.10","43,348.90","39,900.40",75.75K,4.69%
8/5/2021,"40,857.30","39,746.10","41,348.60","37,367.70",84.34K,2.82%
8/4/2021,"39,737.00","38,210.00","39,960.50","37,560.60",52.33K,4.06%
8/3/2021,"38,186.30","39,136.20","39,764.40","37,663.80",57.12K,-2.51%
8/2/2021,"39,170.60","39,850.90","40,457.70","38,691.00",50.84K,-1.74%
8/1/2021,"39,862.90","41,461.80","42,566.60","39,544.60",53.95K,-4.07%
7/31/2021,"41,553.70","42,332.70","42,332.70","41,063.60",44.85K,-1.53%
7/30/2021,"42,198.70","40,023.50","42,257.10","38,353.70",73.60K,5.53%
7/29/2021,"39,988.90","39,977.20","40,628.80","39,339.80",54.00K,-0.03%
7/28/2021,"40,001.30","39,445.50","40,854.50","38,856.20",101.35K,1.40%
7/27/2021,"39,448.50","37,239.50","39,448.50","36,421.20",88.45K,5.83%
7/26/2021,"37,275.00","35,399.00","40,518.00","35,226.80",152.45K,5.35%
7/25/2021,"35,381.90","34,718.50","35,381.90","33,875.30",47.85K,4.62%
7/24/2021,"33,818.50","33,713.40","33,930.80","33,408.00",47.98K,0.65%
7/23/2021,"33,600.00","32,295.50","33,600.00","32,040.80",50.11K,4.03%
7/22/2021,"32,297.40","32,116.50","32,580.10","31,729.40",46.15K,0.52%
7/21/2021,"32,130.90","29,806.90","32,800.00","29,518.40",82.80K,7.85%
7/20/2021,"29,793.50","30,841.80","31,035.20","29,303.10",61.03K,-3.38%
7/19/2021,"30,835.70","31,739.70","31,880.00","30,457.90",47.34K,-2.94%
7/18/2021,"31,770.00","31,507.80","32,399.90","31,227.00",35.92K,0.86%
7/17/2021,"31,499.80","31,379.50","31,914.20","31,203.90",34.01K,0.34%
7/16/2021,"31,392.20","31,879.20","32,237.90","31,072.00",48.50K,-1.39%
7/15/2021,"31,835.60","32,806.80","33,153.50","31,181.40",51.64K,-3.01%
7/14/2021,"32,822.20","32,761.70","33,053.70","31,608.90",46.78K,0.29%
7/13/2021,"32,726.80","33,092.50","33,306.90","32,260.40",41.13K,-1.17%
7/12/2021,"33,115.40","34,248.00","34,593.50","32,665.70",48.18K,-3.25%
7/11/2021,"34,227.50","33,530.40","34,580.90","33,316.30",31.57K,2.14%
7/10/2021,"33,510.00","33,825.40","34,220.90","33,066.00",34.76K,-0.85%
7/9/2021,"33,796.00","32,357.50","34,096.40","32,310.60",47.15K,2.83%
7/8/2021,"32,866.30","33,852.10","33,921.20","32,096.40",70.14K,-2.94%
7/7/2021,"33,862.30","34,177.30","35,031.40","33,795.80",53.85K,-0.90%
7/6/2021,"34,169.20","33,682.70","34,749.90","33,682.70",58.21K,1.43%
7/5/2021,"33,687.20","35,235.10","35,235.10","33,509.50",64.12K,-4.57%
7/4/2021,"35,298.70","35,495.40","35,835.70","35,298.70",43.70K,1.60%
7/3/2021,"34,742.50","33,796.50","34,742.50","33,555.80",43.05K,2.74%
7/2/2021,"33,815.50","33,496.50","33,815.50","32,767.90",56.17K,0.91%
7/1/2021,"33,511.90","35,024.40","35,024.40","33,252.80",71.77K,-4.31%
6/30/2021,"35,021.50","35,882.10","36,054.50","34,206.90",77.15K,-2.26%
6/29/2021,"35,832.50","34,522.60","36,391.60","34,522.60",90.79K,3.94%
6/28/2021,"34,474.00","34,657.30","34,886.30","34,133.10",82.22K,-0.56%
6/27/2021,"34,669.60","32,284.70","34,669.60","32,284.70",96.61K,7.61%
6/26/2021,"32,216.70","31,568.40","32,260.90","30,404.40",107.82K,1.97%
6/25/2021,"31,595.50","34,663.10","35,391.90","31,595.50",116.06K,-8.88%
6/24/2021,"34,673.60","33,615.60","34,925.00","32,482.80",86.63K,2.97%
6/23/2021,"33,673.60","32,440.00","34,159.00","32,440.00",126.97K,3.67%
6/22/2021,"32,482.10","31,710.10","32,920.80","29,933.20",204.21K,2.49%
6/21/2021,"31,694.40","35,589.00","35,589.00","31,694.40",168.78K,-10.96%
6/20/2021,"35,594.50","35,510.40","35,782.20","34,000.00",89.88K,0.25%
6/19/2021,"35,505.20","35,757.60","36,154.30","34,996.70",68.71K,-0.68%
6/18/2021,"35,747.00","38,090.50","38,090.50","35,448.80",95.23K,-6.04%
6/17/2021,"38,043.20","38,342.20","39,348.80","37,685.00",79.54K,-0.76%
6/16/2021,"38,333.40","40,143.80","40,285.00","38,333.40",87.77K,-4.54%
6/15/2021,"40,155.90","40,518.10","40,628.10","39,984.30",80.68K,-0.93%
6/14/2021,"40,532.30","39,152.00","40,648.00","38,933.50",108.58K,3.86%
6/13/2021,"39,024.20","35,539.60","39,024.20","34,962.10",86.92K,10.03%
6/12/2021,"35,467.50","37,334.30","37,334.30","35,240.10",87.72K,-4.93%
6/11/2021,"37,307.80","36,712.10","37,307.80","36,166.30",78.52K,1.82%
6/10/2021,"36,641.30","37,405.60","38,026.00","36,432.10",109.53K,-1.96%
6/9/2021,"37,374.80","33,314.00","37,374.80","32,571.90",136.61K,11.99%
6/8/2021,"33,372.00","33,504.90","33,577.70","31,610.30",123.25K,-0.60%
6/7/2021,"33,573.90","35,776.90","36,675.90","33,573.90",77.58K,-6.27%
6/6/2021,"35,818.90","35,509.00","36,268.90","35,509.00",47.65K,0.86%
6/5/2021,"35,512.40","36,859.90","37,752.80","35,348.00",70.46K,-3.59%
6/4/2021,"36,835.10","39,251.40","39,251.40","36,472.60",91.32K,-5.98%
6/3/2021,"39,177.50","37,553.50","39,177.50","37,341.90",75.89K,4.35%
6/2/2021,"37,545.00","36,750.00","37,982.00","36,238.50",67.59K,2.33%
6/1/2021,"36,689.70","37,221.70","37,606.50","36,160.00",81.24K,-1.63%
5/31/2021,"37,297.50","35,538.80","37,297.50","34,470.10",94.16K,4.63%
5/30/2021,"35,647.80","34,603.20","36,161.40","33,843.30",73.54K,3.11%
5/29/2021,"34,574.10","35,658.60","36,895.00","33,711.20",112.66K,-3.03%
5/28/2021,"35,654.00","38,540.90","38,540.90","35,090.70",135.38K,-7.11%
5/27/2021,"38,381.80","39,197.00","39,965.40","37,500.30",86.55K,-2.16%
5/26/2021,"39,230.00","38,336.50","40,603.10","38,336.50",104.78K,2.22%
5/25/2021,"38,377.40","38,667.80","38,835.30","37,040.20",112.00K,-0.94%
5/24/2021,"38,742.00","34,715.40","39,007.40","34,715.40",161.63K,11.77%
5/23/2021,"34,663.10","37,420.00","37,880.20","32,149.80",217.14K,-7.36%
5/22/2021,"37,418.30","37,252.60","38,293.40","35,701.80",126.54K,0.43%
5/21/2021,"37,259.00","40,515.00","41,708.40","35,807.90",202.10K,-8.58%
5/20/2021,"40,754.50","37,123.20","42,102.30","37,123.20",203.02K,11.11%
5/19/2021,"36,678.60","43,010.80","43,010.80","33,784.60",354.35K,-14.50%
5/18/2021,"42,900.00","43,595.30","45,436.00","42,500.00",116.98K,-1.45%
5/17/2021,"43,531.60","46,454.30","46,454.30","42,553.70",166.66K,-6.17%
5/16/2021,"46,393.80","46,921.80","49,559.90","44,222.40",114.27K,-0.69%
5/15/2021,"46,717.80","49,884.30","50,261.90","46,717.80",79.52K,-6.23%
5/14/2021,"49,820.00","49,644.70","51,078.00","49,435.10",80.08K,0.23%
5/13/2021,"49,704.50","49,159.00","51,033.40","48,715.30",147.33K,0.78%
5/12/2021,"49,322.10","56,657.60","57,259.00","49,322.10",99.84K,-12.97%
5/11/2021,"56,670.00","55,809.40","56,670.00","54,924.80",64.33K,1.50%
5/10/2021,"55,833.60","58,352.80","59,197.50","54,889.80",65.13K,-4.09%
5/9/2021,"58,214.40","58,872.90","58,872.90","56,980.00",69.81K,-0.99%
5/8/2021,"58,795.60","57,310.80","59,087.60","57,188.10",69.71K,2.57%
5/7/2021,"57,322.20","56,433.30","57,835.00","55,443.80",74.54K,1.65%
5/6/2021,"56,392.90","57,469.90","58,061.40","55,976.10",70.18K,-1.77%
5/5/2021,"57,407.00","54,910.00","57,407.00","54,747.30",77.26K,6.25%
5/4/2021,"54,032.10","57,194.90","57,194.90","54,032.10",85.33K,-5.47%
5/3/2021,"57,160.50","56,565.50","58,779.00","56,565.50",57.65K,0.99%
