Date,Price,Open,High,Low,Vol.,Change %
3/21/2022,"2,891.76","2,863.45","2,960.42","2,830.00",450.16K,1.05%
3/20/2022,"2,861.79","2,950.91","2,962.04","2,819.29",377.64K,-2.98%
3/19/2022,"2,949.67","2,940.68","2,984.00","2,895.22",325.74K,0.34%
3/18/2022,"2,939.76","2,813.44","2,983.11","2,768.65",1.59B,4.53%
3/17/2022,"2,812.29","2,773.80","2,832.61","2,747.06",1.06B,1.38%
3/16/2022,"2,773.94","2,618.03","2,787.12","2,603.80",1.79B,5.98%
3/15/2022,"2,617.43","2,589.54","2,667.61","2,510.75",1.19B,1.09%
3/14/2022,"2,589.30","2,515.08","2,608.68","2,500.12",991.76M,2.88%
3/13/2022,"2,516.75","2,567.87","2,600.65","2,494.59",811.51M,-2.06%
3/12/2022,"2,569.80","2,555.85","2,612.33","2,555.85",567.22M,0.50%
3/11/2022,"2,556.96","2,606.74","2,670.05","2,525.20",1.28B,-1.90%
3/10/2022,"2,606.50","2,727.33","2,731.37","2,559.90",1.46B,-4.42%
3/9/2022,"2,726.94","2,576.52","2,772.09","2,569.13",1.52B,5.81%
3/8/2022,"2,577.21","2,495.25","2,623.99","2,483.29",1.44B,3.40%
3/7/2022,"2,492.53","2,550.36","2,645.41","2,447.74",1.58B,-2.23%
3/6/2022,"2,549.40","2,665.15","2,673.19","2,542.19",881.04M,-4.35%
3/5/2022,"2,665.42","2,619.90","2,684.50","2,592.07",709.83M,1.65%
3/4/2022,"2,622.15","2,831.86","2,835.89","2,575.66",1.50B,-7.50%
3/3/2022,"2,834.85","2,947.52","2,967.27","2,789.82",446.18K,-3.80%
3/2/2022,"2,946.73","2,974.70","3,041.47","2,914.56",614.66K,-0.97%
3/1/2022,"2,975.66","2,921.68","3,036.54","2,858.40",673.93K,1.82%
2/28/2022,"2,922.35","2,615.01","2,949.39","2,573.85",733.69K,11.70%
2/27/2022,"2,616.15","2,779.56","2,834.24","2,563.00",650.22K,-5.77%
2/26/2022,"2,776.37","2,768.64","2,856.11","2,734.80",418.49K,0.33%
2/25/2022,"2,767.33","2,599.00","2,829.99","2,573.23",679.41K,6.59%
2/24/2022,"2,596.16","2,578.87","2,734.17","2,302.82",1.40M,0.70%
2/23/2022,"2,578.09","2,641.33","2,749.47","2,578.09",504.19K,-2.24%
2/22/2022,"2,637.25","2,569.18","2,662.71","2,501.02",692.64K,2.60%
2/21/2022,"2,570.49","2,621.87","2,755.44","2,559.61",761.63K,-1.84%
2/20/2022,"2,618.76","2,764.39","2,764.39","2,577.69",386.43K,-5.25%
2/19/2022,"2,763.76","2,776.84","2,829.00","2,700.13",293.74K,-0.57%
2/18/2022,"2,779.49","2,891.89","2,942.95","2,754.12",503.02K,-3.96%
2/17/2022,"2,893.95","3,125.09","3,159.99","2,855.83",488.73K,-7.31%
2/16/2022,"3,122.02","3,184.08","3,184.77","3,045.72",320.00K,-1.88%
2/15/2022,"3,181.93","2,934.14","3,193.04","2,912.49",448.94K,8.64%
